Tesla,Meta,Amazon,Microsoft,CEMEX
237.410004,335.620331,145.800003,368.173828,7.066845
242.839996,332.02771,143.199997,368.323303,6.977139
233.589996,333.504669,142.830002,374.799652,6.857531
234.300003,334.352936,145.179993,368.502655,6.957204
235.600006,339.272827,146.130005,376.065002,6.70802
241.199997,336.288971,143.899994,371.710907,6.797727
234.210007,340.789703,146.710007,376.473511,6.737923
235.449997,337.536407,146.740005,376.054993,6.698053
236.080002,334.013641,147.729996,377.230713,6.678118
246.720001,338.29483,147.029999,381.305847,6.74789
244.139999,331.518768,146.320007,377.469849,6.907367
240.080002,326.479095,146.089996,377.529633,6.887433
238.830002,324.1539,147.029999,373.14566,7.176485
235.580002,319.363739,144.839996,367.795258,7.017008
238.720001,317.637299,146.880005,371.162903,6.927302
239.369995,316.799011,144.520004,367.456451,6.967171
242.639999,325.920227,146.880005,369.598633,6.977139
243.839996,332.067596,147.419998,372.866699,7.066845
239.740005,324.612946,145.889999,369.947327,7.08678
237.009995,333.534607,147.479996,373.016144,7.096746
239.289993,334.053528,148.839996,373.006165,7.435637
251.050003,332.486786,147.419998,364.596924,7.824362
253.5,334.233185,149.970001,369.379456,7.784493
252.080002,343.913269,154.070007,371.292419,7.844297
257.220001,349.64151,153.789993,371.900238,7.963905
247.139999,348.563721,152.119995,369.269836,7.804428
254.5,353.363861,153.839996,372.17923,8.063579
252.539993,352.665314,153.419998,373.215393,8.183187
256.609985,354.102356,153.410004,373.295135,8.103448
261.440002,357.096161,153.339996,372.707275,8.073546
253.179993,357.585175,153.380005,373.912842,7.864232
248.479996,353.234131,151.940002,374.670074,7.724689
248.419998,345.579865,149.929993,369.518921,7.585146
238.449997,343.76358,148.470001,369.249908,7.395767
237.929993,346.408142,144.570007,366.599579,7.405734
237.490005,351.228271,145.240005,366.410309,7.654918
240.449997,357.9245,149.100006,373.325012,7.714722
234.960007,356.696991,151.369995,374.421021,7.774526
233.940002,369.710266,153.729996,381.375549,7.844297
227.220001,368.911926,155.179993,383.22879,7.804428
218.889999,373.722015,154.619995,387.05481,7.824362
219.910004,366.706421,153.160004,388.848236,7.385799
215.550003,367.614563,151.710007,388.051147,7.405734
211.880005,375.358673,153.5,392.43512,7.385799
212.190002,382.663666,155.339996,397.217682,7.435637
208.800003,380.997101,154.779999,395.065521,7.405734
209.139999,384.410095,156.020004,397.446808,7.485473
207.830002,389.898804,156.869995,401.093475,7.714722
182.630005,392.373688,157.75,403.395081,8.093481
183.25,393.331726,159.119995,402.458496,8.213089
190.929993,400.197601,161.259995,408.227386,8.292828
191.589996,399.239594,159,407.101501,8.32273
187.289993,389.339935,155.199997,396.131622,8.252958
188.860001,393.970398,159.279999,402.309052,8.392501
187.910004,474.0159,171.809998,409.721954,8.542011
181.059998,458.467865,170.309998,404.172241,8.43237
185.100006,453.787476,169.149994,404.012787,8.651652
187.580002,468.627014,170.529999,412.541595,8.711455
