ent,sex,eda,nac_mes,nac_anio,cs_p12,cs_p13_1,cs_p13_2,cs_p15,cs_p16,n_hij,e_con,zona,salario,clase2,rama,c_ocu11c,dur9c,rama_est2,dur_est,d_ant_lab,d_cexp_est,niv_ins,anios_esc,hrsocup,ingocup,ing_x_hrs,imssissste,scian,t_tra,emp_ppal,sec_ins,,
9,2,31,12,1992,1,7,4,3,1,0,1,2,7468,1,4,1,7,9,5,0,0,4,16,50,8000,37.2093,4,15,1,1,6,,
9,2,22,10,2001,1,7,4,3,1,0,6,2,7468,1,4,4,6,11,4,0,0,4,16,45,0,0,2,20,1,2,5,,
9,2,31,5,1993,1,7,2,3,2,0,6,2,7468,1,4,8,8,10,5,0,0,4,14,63,0,0,4,19,1,1,9,,
9,2,47,11,1976,1,7,5,3,1,0,5,2,7468,1,4,3,6,6,4,0,0,4,17,48,50000,242.24806,4,18,1,2,4,,
9,2,49,7,1974,1,6,3,3,1,2,3,2,7468,1,4,4,6,11,4,0,0,4,15,40,10000,58.13953,2,20,1,2,5,,
15,2,46,1,1978,1,7,3,3,2,2,5,2,7468,1,4,1,4,10,3,0,0,4,15,31,0,0,1,19,1,2,2,,
15,2,57,6,1966,1,7,4,3,1,0,6,2,7468,1,4,8,3,10,3,0,0,4,16,24,0,0,4,19,1,1,9,,
15,2,49,12,1974,1,7,4,3,1,1,5,2,7468,1,4,2,4,9,3,0,0,4,16,30,12000,93.02326,2,15,1,2,7,,
15,2,26,6,1997,1,7,4,3,1,0,6,2,7468,1,4,2,4,9,3,0,0,4,16,30,12000,93.02326,2,15,1,2,7,,
15,2,28,6,1995,1,7,4,3,1,1,2,2,7468,1,4,1,6,9,4,0,0,4,16,40,17000,98.83721,2,16,1,2,7,,
15,2,51,2,1973,1,7,4,3,1,0,6,2,7468,1,4,4,7,8,5,0,0,4,16,51,0,0,1,14,1,2,2,,
15,2,22,11,2001,1,7,4,3,2,0,6,2,7468,1,4,1,6,8,4,0,0,4,16,40,13000,75.5814,1,12,1,2,6,,
15,2,42,11,1981,1,7,4,3,1,1,1,2,7468,1,4,1,6,7,4,0,0,4,16,45,0,0,1,8,1,2,2,,
15,2,42,11,1981,1,7,5,3,1,2,5,2,7468,1,3,6,3,5,3,0,0,4,17,16,0,0,4,7,1,1,8,,
15,2,32,10,1991,1,7,5,3,1,0,5,2,7468,1,3,6,4,5,3,0,0,4,17,30,0,0,4,7,1,1,4,,
15,2,48,8,1975,1,7,1,3,2,2,6,2,7468,1,4,1,6,9,4,0,0,4,13,40,10400,60.46512,1,16,1,2,2,,
15,2,41,3,1983,1,7,5,3,1,2,5,2,7468,1,4,1,6,9,4,0,0,4,17,40,0,0,1,16,1,2,7,,
15,2,30,8,1993,1,7,5,3,2,0,1,2,7468,1,4,8,3,6,3,0,0,4,17,24,5160,50,4,18,1,1,4,,
15,2,51,7,1972,1,7,4,3,1,2,5,2,7468,1,4,1,6,9,4,0,0,4,16,48,0,0,2,16,1,2,7,,
15,2,32,4,1992,1,7,4,3,1,0,1,2,7468,1,4,4,4,8,3,0,0,4,16,32,0,0,1,12,1,2,4,,
15,2,54,1,1970,1,6,3,2,1,3,5,2,7468,1,4,8,6,6,4,0,0,3,12,42,1290,7.14286,4,18,1,1,8,,
15,2,56,6,1967,1,6,3,2,1,0,6,2,7468,1,4,8,8,8,5,0,0,3,12,60,8600,33.33333,4,12,1,1,4,,
15,2,35,11,1988,1,7,4,3,1,1,5,2,7468,1,2,1,4,3,3,0,0,4,16,30,0,0,1,5,1,2,2,,
15,2,20,6,2003,1,7,1,3,2,0,6,2,7468,1,3,6,3,5,3,0,0,4,13,24,3225,31.25,4,7,2,1,8,,
15,2,29,9,1994,1,6,3,2,1,0,6,2,7468,1,2,1,7,3,5,0,0,3,12,50,10000,46.51163,1,5,1,2,2,,
15,2,37,99,1987,1,7,4,3,1,2,1,2,7468,1,4,2,5,9,4,0,0,4,16,35,0,0,2,15,1,2,7,,
15,2,24,7,1999,1,7,4,3,1,0,6,2,7468,1,7,4,3,0,3,0,0,4,16,20,6000,69.76744,4,21,2,1,11,,
15,2,24,1,2000,1,7,4,3,1,0,6,2,7468,1,4,1,6,11,4,0,0,4,16,40,20000,116.27907,2,20,1,2,5,,
15,2,41,8,1982,1,7,4,3,1,1,3,2,7468,1,4,3,3,8,3,0,0,4,16,18,0,0,4,11,1,2,2,,
15,2,48,3,1976,1,7,4,3,1,1,5,2,7468,1,4,4,6,7,4,0,0,4,16,40,0,0,1,9,1,2,2,,
15,2,36,11,1987,1,7,4,3,1,1,6,2,7468,1,4,6,7,8,5,0,0,4,16,55,0,0,1,10,1,2,1,,
15,2,49,9,1974,1,6,3,2,1,1,6,2,7468,1,4,4,6,8,4,0,0,3,12,40,0,0,1,10,1,2,1,,
15,2,52,99,1972,1,7,3,3,2,0,6,2,7468,1,3,6,7,5,5,0,0,4,15,50,0,0,1,7,1,2,2,,
15,2,28,5,1996,1,7,4,3,1,0,6,2,7468,1,2,5,6,3,4,0,0,4,16,48,0,0,4,5,1,1,4,,
15,2,54,10,1969,1,6,3,2,1,0,3,2,7468,1,4,1,5,9,4,0,0,3,12,36,19000,122.73902,2,16,1,2,7,,
15,2,39,3,1985,1,7,4,3,1,2,3,2,7468,1,5,4,6,2,4,0,0,4,16,40,0,0,2,3,1,2,7,,
15,2,30,10,1993,1,7,4,3,1,2,5,2,7468,1,4,1,6,10,4,0,0,4,16,45,0,0,1,19,1,2,2,,
15,2,31,11,1992,1,7,5,3,1,1,6,2,7468,1,2,5,6,3,4,0,0,4,17,45,0,0,1,5,1,2,2,,
15,2,32,3,1992,1,7,4,3,1,2,5,2,7468,1,3,6,8,5,5,0,0,4,16,63,0,0,4,7,1,1,8,,
15,2,40,1,1984,1,7,5,3,1,1,6,2,7468,1,2,4,7,3,5,0,0,4,17,50,10160,47.25581,1,5,1,2,2,,
15,2,30,2,1994,1,7,5,3,1,1,4,2,7468,1,4,4,7,10,5,0,0,4,17,50,12250,56.97674,1,19,1,2,2,,
15,2,38,1,1986,1,7,4,3,1,1,6,2,7468,1,4,1,7,11,5,0,0,4,16,50,0,0,1,20,1,2,5,,
15,2,21,7,2002,1,7,2,3,2,0,6,2,7468,1,4,4,1,10,1,0,0,4,14,0,0,0,4,17,1,1,2,,
14,2,46,1,1978,1,7,5,3,1,2,5,2,7468,1,4,1,3,9,3,0,0,4,17,24,17200,166.66667,4,16,1,2,4,,
